YEAR DAY  RAD_AU  SE_LAT  SE_LON
1977 249    1.01     1.7   348.4
1978 249    3.83     2.3   118.5
1979 249    5.55     1.1   144.1
1980 249    7.38     2.1   174.6
1981 248    9.61     2.4   192.2
1982 248   10.46     1.8   216.2
1983 248   12.41     1.0   234.6
1984 248   15.00     0.5   247.3
1985 247   17.92     0.1   256.0
1986 247   20.77     0.2   264.2
1987 247   23.75     0.5   271.4
1988 247   26.95     0.7   277.0
1989 246   30.27     0.8   281.3
1990 246   32.75    -3.6   282.2
1991 246   35.37    -7.4   283.0
1992 246   38.09   -10.7   283.7
1993 245   40.91   -13.5   284.3
1994 245   43.78   -16.0   284.8
1995 245   46.71   -18.1   285.3
1996 245   49.68   -20.0   285.7
1997 244   52.68   -21.7   286.1
1998 244   55.71   -23.2   286.5
1999 244   58.75   -24.5   286.8
2000 244   61.82   -25.7   287.1
2001 243   64.91   -26.8   287.4
2002 243   68.01   -27.8   287.7
2003 243   71.12   -28.7   287.9
2004 243   74.24   -29.5   288.1
2005 242   77.37   -30.3   288.4
2006 242   80.51   -31.0   288.6
2007 242   83.65   -31.6   288.7
2008 242   86.79   -32.2   288.9
2009 241   89.94   -32.8   289.1
2010 241   93.09   -33.3   289.3
2011 241   96.24   -33.8   289.4
2012 241   99.40   -34.2   289.6
2013 240  102.56   -34.7   289.7
2014 240  105.72   -35.1   289.8
2015 240  108.88   -35.4   290.0
2016 240  112.05   -35.8   290.1
2017 239  115.22   -36.1   290.2
2018 239  118.39   -36.4   290.3
2019 239  121.56   -36.7   290.4
