xmic,k9055,n9055,k9505,n9505,k9082,n9082
6.114,0.346,1.908,0.181,1.591,2.094,1.753
6.087,0.357,1.896,0.174,1.584,2.073,1.693
6.061,0.367,1.876,0.166,1.575,2.048,1.634
6.035,0.374,1.854,0.157,1.57,2.023,1.581
6.009,0.376,1.827,0.147,1.563,1.999,1.524
5.982,0.373,1.8,0.136,1.559,1.977,1.467
5.957,0.363,1.77,0.125,1.555,1.953,1.4
5.931,0.347,1.745,0.114,1.554,1.926,1.326
5.905,0.327,1.721,0.103,1.552,1.889,1.237
5.879,0.302,1.702,0.092,1.553,1.834,1.14
5.854,0.273,1.688,0.081,1.553,1.75,1.038
5.828,0.243,1.682,0.071,1.558,1.639,0.955
5.803,0.215,1.681,0.061,1.561,1.515,0.889
5.778,0.189,1.684,0.053,1.566,1.378,0.844
5.753,0.164,1.69,0.045,1.57,1.228,0.823
5.728,0.143,1.702,0.038,1.577,1.085,0.836
5.703,0.126,1.714,0.032,1.582,0.953,0.865
5.678,0.113,1.729,0.027,1.59,0.833,0.916
5.654,0.103,1.741,0.023,1.595,0.73,0.975
5.629,0.096,1.754,0.021,1.602,0.644,1.046
5.605,0.09,1.764,0.018,1.607,0.572,1.113
5.581,0.086,1.776,0.017,1.613,0.511,1.185
5.556,0.082,1.784,0.016,1.617,0.46,1.255
5.532,0.08,1.794,0.014,1.623,0.422,1.329
5.508,0.078,1.8,0.014,1.626,0.394,1.394
5.484,0.077,1.809,0.013,1.631,0.374,1.457
5.461,0.076,1.814,0.013,1.633,0.36,1.511
5.437,0.075,1.821,0.013,1.637,0.35,1.564
5.413,0.075,1.825,0.012,1.639,0.342,1.608
5.39,0.074,1.83,0.012,1.643,0.336,1.651
5.367,0.074,1.834,0.012,1.645,0.331,1.688
5.343,0.074,1.839,0.012,1.648,0.327,1.725
5.32,0.074,1.842,0.012,1.65,0.325,1.756
5.297,0.073,1.846,0.012,1.653,0.323,1.788
5.274,0.073,1.848,0.011,1.654,0.321,1.814
5.251,0.073,1.852,0.011,1.657,0.319,1.842
5.228,0.073,1.854,0.011,1.658,0.318,1.864
5.206,0.073,1.857,0.011,1.661,0.317,1.889
5.183,0.073,1.859,0.011,1.662,0.316,1.908
5.161,0.073,1.862,0.011,1.665,0.314,1.931
5.138,0.072,1.863,0.011,1.665,0.313,1.948
5.116,0.072,1.866,0.011,1.668,0.312,1.969
5.094,0.072,1.867,0.011,1.669,0.311,1.985
5.072,0.072,1.87,0.011,1.671,0.309,2.004
5.05,0.072,1.871,0.011,1.672,0.309,2.019
5.028,0.072,1.874,0.011,1.675,0.308,2.037
5.006,0.072,1.875,0.011,1.675,0.308,2.05
4.984,0.071,1.878,0.011,1.678,0.307,2.067
4.963,0.071,1.878,0.011,1.678,0.306,2.079
4.941,0.071,1.881,0.011,1.681,0.306,2.095
4.92,0.071,1.881,0.012,1.682,0.306,2.106
4.898,0.071,1.884,0.012,1.685,0.306,2.121
4.877,0.071,1.885,0.012,1.685,0.305,2.132
4.856,0.071,1.887,0.013,1.688,0.305,2.146
4.835,0.071,1.888,0.014,1.69,0.305,2.156
4.814,0.071,1.89,0.015,1.693,0.305,2.17
4.793,0.071,1.891,0.017,1.693,0.305,2.179
4.772,0.071,1.893,0.019,1.695,0.306,2.193
4.752,0.072,1.894,0.021,1.695,0.307,2.203
4.731,0.073,1.897,0.023,1.696,0.308,2.216
4.71,0.074,1.898,0.026,1.695,0.311,2.226
4.69,0.076,1.899,0.028,1.695,0.315,2.239
4.67,0.078,1.899,0.029,1.692,0.32,2.247
4.649,0.08,1.9,0.03,1.692,0.327,2.256
4.629,0.081,1.898,0.031,1.689,0.334,2.259
4.609,0.082,1.897,0.031,1.689,0.34,2.261
4.589,0.081,1.894,0.031,1.686,0.342,2.258
4.569,0.08,1.893,0.03,1.685,0.34,2.258
4.55,0.078,1.891,0.028,1.683,0.334,2.256
4.53,0.076,1.892,0.027,1.683,0.327,2.261
4.51,0.074,1.892,0.025,1.681,0.319,2.265
4.491,0.073,1.895,0.023,1.682,0.313,2.276
4.471,0.072,1.895,0.021,1.681,0.309,2.285
4.452,0.072,1.897,0.018,1.683,0.308,2.296
4.432,0.071,1.897,0.017,1.684,0.307,2.303
4.413,0.071,1.899,0.016,1.686,0.307,2.314
4.394,0.07,1.899,0.015,1.687,0.307,2.319
4.375,0.07,1.901,0.015,1.689,0.307,2.329
4.356,0.069,1.901,0.014,1.689,0.307,2.334
4.337,0.069,1.903,0.014,1.692,0.307,2.344
4.318,0.069,1.903,0.014,1.692,0.307,2.349
4.3,0.069,1.905,0.014,1.694,0.308,2.358
4.281,0.069,1.905,0.014,1.694,0.309,2.362
4.262,0.069,1.906,0.014,1.696,0.309,2.371
4.244,0.069,1.906,0.014,1.696,0.31,2.376
4.225,0.069,1.908,0.014,1.698,0.311,2.384
4.207,0.069,1.907,0.014,1.698,0.312,2.389
4.189,0.069,1.909,0.015,1.7,0.313,2.397
4.171,0.069,1.909,0.015,1.699,0.315,2.402
4.153,0.069,1.91,0.015,1.701,0.317,2.41
4.135,0.069,1.91,0.015,1.701,0.319,2.413
4.117,0.069,1.912,0.015,1.702,0.321,2.421
4.099,0.069,1.911,0.016,1.702,0.323,2.425
4.081,0.069,1.913,0.016,1.704,0.325,2.432
4.063,0.07,1.913,0.016,1.703,0.328,2.435
4.046,0.07,1.914,0.016,1.705,0.33,2.442
4.028,0.07,1.914,0.017,1.705,0.333,2.445
4.011,0.07,1.915,0.017,1.706,0.335,2.451
3.993,0.07,1.915,0.017,1.706,0.338,2.454
3.976,0.07,1.916,0.017,1.707,0.34,2.46
3.959,0.07,1.916,0.018,1.707,0.342,2.463
3.942,0.07,1.917,0.018,1.709,0.345,2.469
3.925,0.071,1.917,0.018,1.708,0.347,2.472
3.908,0.071,1.919,0.018,1.71,0.35,2.479
3.891,0.071,1.918,0.019,1.709,0.353,2.481
3.874,0.071,1.92,0.019,1.711,0.357,2.488
3.857,0.072,1.919,0.02,1.71,0.36,2.49
3.84,0.072,1.921,0.02,1.712,0.364,2.497
3.824,0.072,1.921,0.021,1.712,0.368,2.499
3.807,0.073,1.922,0.021,1.713,0.373,2.505
3.79,0.073,1.922,0.022,1.712,0.378,2.508
3.774,0.074,1.923,0.022,1.714,0.383,2.514
3.758,0.074,1.923,0.023,1.713,0.389,2.515
3.741,0.075,1.924,0.023,1.715,0.395,2.52
3.725,0.075,1.924,0.024,1.714,0.402,2.521
3.709,0.076,1.925,0.025,1.715,0.409,2.526
3.693,0.077,1.925,0.025,1.714,0.416,2.525
3.677,0.078,1.926,0.026,1.715,0.424,2.529
3.661,0.078,1.925,0.027,1.715,0.433,2.527
3.645,0.079,1.926,0.027,1.716,0.441,2.527
3.629,0.079,1.926,0.028,1.715,0.45,2.523
3.613,0.08,1.927,0.028,1.716,0.458,2.521
3.598,0.081,1.927,0.029,1.715,0.465,2.514
3.582,0.082,1.928,0.029,1.716,0.47,2.509
3.567,0.083,1.927,0.029,1.715,0.473,2.5
3.551,0.083,1.928,0.03,1.717,0.474,2.495
3.536,0.084,1.928,0.031,1.716,0.472,2.488
3.52,0.085,1.93,0.032,1.717,0.469,2.489
3.505,0.087,1.929,0.032,1.716,0.467,2.488
3.49,0.089,1.93,0.032,1.717,0.467,2.493
3.475,0.091,1.929,0.033,1.717,0.47,2.494
3.46,0.092,1.929,0.035,1.718,0.473,2.498
3.445,0.094,1.928,0.036,1.717,0.477,2.499
3.43,0.096,1.929,0.038,1.718,0.484,2.505
3.415,0.098,1.926,0.039,1.716,0.492,2.505
3.4,0.1,1.926,0.04,1.716,0.502,2.509
3.385,0.102,1.922,0.04,1.715,0.514,2.505
3.371,0.102,1.92,0.041,1.715,0.524,2.503
3.356,0.101,1.917,0.043,1.714,0.534,2.496
3.342,0.1,1.917,0.043,1.713,0.544,2.492
3.327,0.099,1.916,0.044,1.711,0.553,2.482
3.313,0.099,1.917,0.044,1.711,0.561,2.476
3.298,0.1,1.917,0.044,1.71,0.569,2.466
3.284,0.101,1.918,0.044,1.71,0.576,2.459
3.27,0.103,1.916,0.045,1.709,0.583,2.448
3.256,0.104,1.917,0.046,1.71,0.59,2.441
3.241,0.106,1.915,0.047,1.708,0.597,2.429
3.227,0.107,1.915,0.047,1.708,0.605,2.42
3.213,0.109,1.913,0.048,1.706,0.614,2.405
3.199,0.111,1.913,0.049,1.706,0.623,2.392
3.186,0.113,1.91,0.05,1.704,0.631,2.372
3.172,0.116,1.909,0.051,1.704,0.637,2.352
3.158,0.118,1.906,0.052,1.701,0.639,2.326
3.144,0.12,1.903,0.052,1.7,0.637,2.302
3.131,0.121,1.898,0.052,1.698,0.629,2.274
3.117,0.122,1.895,0.052,1.697,0.617,2.253
3.104,0.122,1.89,0.052,1.694,0.6,2.232
3.09,0.121,1.887,0.052,1.693,0.583,2.221
3.077,0.121,1.883,0.052,1.691,0.567,2.211
3.063,0.121,1.88,0.052,1.69,0.554,2.207
3.05,0.12,1.875,0.052,1.687,0.546,2.201
3.037,0.12,1.872,0.052,1.686,0.542,2.195
3.024,0.119,1.866,0.051,1.682,0.538,2.18
3.011,0.117,1.862,0.05,1.68,0.532,2.165
2.998,0.114,1.856,0.049,1.677,0.52,2.143
2.985,0.11,1.853,0.047,1.675,0.503,2.127
2.972,0.105,1.848,0.045,1.672,0.482,2.109
2.959,0.099,1.846,0.042,1.671,0.459,2.099
2.946,0.094,1.844,0.039,1.669,0.435,2.088
2.933,0.089,1.844,0.036,1.669,0.411,2.083
2.92,0.084,1.842,0.033,1.668,0.385,2.076
2.908,0.079,1.843,0.03,1.669,0.356,2.076
2.895,0.074,1.843,0.027,1.669,0.327,2.078
2.883,0.07,1.845,0.024,1.671,0.3,2.088
2.87,0.066,1.845,0.022,1.671,0.275,2.099
2.858,0.062,1.848,0.02,1.673,0.253,2.118
2.845,0.059,1.85,0.019,1.673,0.236,2.136
2.833,0.056,1.854,0.017,1.676,0.226,2.157
2.821,0.055,1.855,0.016,1.676,0.22,2.172
2.808,0.053,1.859,0.016,1.679,0.216,2.187
2.796,0.052,1.86,0.015,1.679,0.213,2.196
2.784,0.052,1.862,0.015,1.681,0.209,2.208
2.772,0.051,1.863,0.014,1.68,0.205,2.215
2.76,0.05,1.865,0.014,1.682,0.2,2.226
2.748,0.049,1.865,0.014,1.682,0.195,2.233
2.736,0.049,1.868,0.013,1.684,0.192,2.245
2.724,0.048,1.868,0.013,1.683,0.189,2.253
2.712,0.047,1.87,0.013,1.685,0.188,2.264
2.701,0.047,1.871,0.012,1.684,0.189,2.271
2.689,0.047,1.873,0.012,1.686,0.189,2.279
2.677,0.047,1.872,0.012,1.685,0.189,2.283
2.666,0.047,1.874,0.012,1.687,0.189,2.291
2.654,0.047,1.874,0.012,1.687,0.189,2.294
2.643,0.047,1.875,0.012,1.688,0.189,2.301
2.631,0.047,1.875,0.012,1.687,0.189,2.303
2.62,0.047,1.876,0.012,1.687,0.188,2.309
2.608,0.046,1.875,0.011,1.687,0.188,2.31
2.597,0.046,1.876,0.011,1.688,0.187,2.316
2.586,0.046,1.876,0.011,1.687,0.187,2.318
2.575,0.045,1.877,0.01,1.688,0.186,2.323
2.563,0.045,1.876,0.01,1.686,0.186,2.325
2.552,0.045,1.878,0.009,1.687,0.185,2.33
2.541,0.044,1.877,0.008,1.687,0.184,2.331
2.53,0.044,1.878,0.007,1.688,0.183,2.336
2.519,0.043,1.878,0.006,1.688,0.183,2.337
2.508,0.043,1.879,0.005,1.69,0.182,2.342
2.497,0.043,1.878,0.005,1.689,0.181,2.343
2.487,0.042,1.88,0.004,1.691,0.181,2.348
2.476,0.042,1.879,0.004,1.691,0.18,2.349
2.465,0.042,1.88,0.004,1.693,0.18,2.353
2.454,0.042,1.88,0.004,1.692,0.179,2.354
2.444,0.041,1.881,0.004,1.694,0.179,2.359
2.433,0.041,1.88,0.004,1.693,0.179,2.359
2.423,0.041,1.881,0.004,1.695,0.179,2.364
2.412,0.041,1.881,0.004,1.694,0.178,2.364
2.402,0.041,1.882,0.004,1.696,0.178,2.368
2.391,0.04,1.881,0.003,1.695,0.178,2.368
2.381,0.04,1.882,0.003,1.696,0.178,2.372
2.37,0.04,1.881,0.003,1.696,0.178,2.372
2.36,0.04,1.882,0.003,1.697,0.177,2.376
2.35,0.04,1.882,0.003,1.697,0.177,2.376
2.34,0.039,1.883,0.003,1.698,0.177,2.38
2.33,0.039,1.882,0.003,1.697,0.177,2.38
2.319,0.039,1.883,0.003,1.699,0.177,2.384
2.309,0.039,1.882,0.003,1.698,0.177,2.384
2.299,0.039,1.883,0.002,1.699,0.177,2.387
2.289,0.038,1.882,0.002,1.699,0.176,2.387
2.28,0.038,1.883,0.002,1.7,0.176,2.39
2.27,0.038,1.882,0.002,1.699,0.176,2.39
2.26,0.038,1.883,0.002,1.7,0.176,2.393
2.25,0.037,1.882,0.002,1.7,0.176,2.393
2.24,0.037,1.883,0.002,1.701,0.176,2.396
2.231,0.037,1.882,0.002,1.7,0.176,2.395
2.221,0.037,1.883,0.002,1.702,0.175,2.399
2.211,0.036,1.882,0.002,1.701,0.175,2.398
2.202,0.036,1.883,0.002,1.702,0.175,2.401
2.192,0.036,1.882,0.001,1.702,0.175,2.4
2.183,0.035,1.883,0.001,1.703,0.175,2.404
2.173,0.035,1.882,0.001,1.702,0.174,2.403
2.164,0.035,1.883,0.001,1.704,0.174,2.406
2.154,0.034,1.882,0.001,1.703,0.174,2.405
2.145,0.034,1.883,0.001,1.704,0.174,2.408
2.136,0.034,1.882,0.001,1.703,0.174,2.407
2.126,0.033,1.883,0.001,1.705,0.174,2.411
2.117,0.033,1.882,0.001,1.704,0.174,2.41
2.108,0.033,1.883,0.001,1.705,0.174,2.413
2.099,0.032,1.882,0.001,1.705,0.173,2.412
2.09,0.032,1.883,0.001,1.706,0.173,2.415
2.081,0.032,1.882,0.001,1.705,0.173,2.414
2.072,0.031,1.883,0.001,1.706,0.173,2.417
2.063,0.031,1.882,0.001,1.706,0.173,2.416
2.054,0.03,1.883,0.001,1.707,0.173,2.419
2.045,0.03,1.882,0.0,1.706,0.173,2.418
2.036,0.03,1.882,0.0,1.708,0.173,2.42
2.027,0.029,1.882,0.0,1.707,0.173,2.419
2.018,0.029,1.882,0.0,1.708,0.173,2.422
2.01,0.028,1.882,0.0,1.708,0.173,2.421
2.001,0.028,1.882,0.0,1.709,0.173,2.424
1.992,0.027,1.881,0.0,1.708,0.173,2.423
1.984,0.027,1.882,0.0,1.71,0.173,2.425
1.975,0.026,1.882,0.0,1.709,0.173,2.424
1.966,0.026,1.882,0.0,1.71,0.173,2.427
1.958,0.025,1.882,0.0,1.71,0.173,2.426
1.949,0.025,1.883,0.0,1.711,0.173,2.429
1.941,0.024,1.882,0.0,1.71,0.173,2.427
1.932,0.024,1.883,0.0,1.712,0.173,2.43
1.924,0.023,1.882,0.001,1.711,0.173,2.429
1.916,0.023,1.883,0.001,1.712,0.173,2.432
1.907,0.022,1.882,0.001,1.711,0.173,2.43
1.899,0.022,1.883,0.001,1.713,0.174,2.433
1.891,0.021,1.882,0.001,1.712,0.174,2.431
1.883,0.021,1.883,0.001,1.713,0.174,2.434
1.875,0.02,1.883,0.001,1.712,0.174,2.432
1.866,0.019,1.884,0.001,1.713,0.175,2.435
1.858,0.019,1.883,0.001,1.713,0.175,2.433
1.85,0.018,1.884,0.001,1.714,0.175,2.435
1.842,0.018,1.883,0.001,1.713,0.175,2.434
1.834,0.017,1.884,0.0,1.714,0.175,2.436
1.826,0.016,1.884,0.0,1.714,0.175,2.434
1.818,0.016,1.885,0.0,1.715,0.176,2.437
1.811,0.015,1.884,0.0,1.714,0.176,2.435
1.803,0.015,1.886,0.0,1.716,0.176,2.437
1.795,0.014,1.885,0.0,1.715,0.176,2.436
1.787,0.013,1.887,0.0,1.716,0.176,2.438
1.779,0.013,1.886,0.0,1.716,0.176,2.436
1.772,0.013,1.887,0.0,1.717,0.177,2.438
1.764,0.012,1.887,0.001,1.717,0.177,2.436
1.756,0.012,1.888,0.001,1.718,0.177,2.438
1.749,0.011,1.888,0.001,1.717,0.177,2.437
1.741,0.011,1.889,0.001,1.719,0.178,2.439
1.734,0.011,1.889,0.001,1.718,0.178,2.437
1.726,0.01,1.89,0.001,1.719,0.178,2.439
1.719,0.01,1.89,0.001,1.719,0.178,2.437
1.711,0.01,1.891,0.002,1.72,0.178,2.438
1.704,0.009,1.891,0.002,1.72,0.178,2.436
1.696,0.009,1.892,0.002,1.721,0.179,2.438
1.689,0.009,1.891,0.002,1.72,0.179,2.436
1.682,0.008,1.893,0.002,1.722,0.179,2.438
1.674,0.008,1.892,0.003,1.721,0.179,2.436
1.667,0.007,1.894,0.003,1.722,0.179,2.437
1.66,0.007,1.894,0.003,1.721,0.179,2.435
1.653,0.007,1.895,0.003,1.723,0.179,2.437
1.645,0.007,1.895,0.004,1.722,0.179,2.435
1.638,0.007,1.897,0.004,1.723,0.179,2.436
1.631,0.007,1.897,0.004,1.722,0.179,2.434
1.624,0.007,1.898,0.004,1.724,0.179,2.436
1.617,0.007,1.898,0.005,1.723,0.179,2.433
1.61,0.007,1.899,0.005,1.724,0.179,2.435
1.603,0.007,1.899,0.005,1.723,0.179,2.433
1.596,0.007,1.901,0.005,1.725,0.179,2.434
1.589,0.007,1.9,0.006,1.724,0.179,2.432
1.582,0.008,1.901,0.006,1.725,0.178,2.434
1.575,0.008,1.901,0.006,1.724,0.178,2.431
1.569,0.008,1.902,0.006,1.726,0.178,2.433
1.562,0.008,1.901,0.007,1.725,0.178,2.43
1.555,0.009,1.903,0.007,1.726,0.178,2.432
1.548,0.009,1.902,0.008,1.725,0.177,2.429
1.542,0.009,1.903,0.008,1.726,0.177,2.431
1.535,0.009,1.902,0.008,1.726,0.177,2.429
1.528,0.009,1.903,0.009,1.727,0.176,2.43
1.522,0.009,1.902,0.009,1.726,0.176,2.428
1.515,0.01,1.903,0.009,1.727,0.176,2.429
1.508,0.01,1.902,0.01,1.726,0.175,2.427
1.502,0.01,1.903,0.01,1.727,0.175,2.429
1.495,0.01,1.903,0.01,1.726,0.175,2.426
1.489,0.01,1.904,0.01,1.727,0.174,2.428
1.482,0.01,1.903,0.01,1.726,0.174,2.425
1.476,0.01,1.904,0.011,1.727,0.173,2.427
1.47,0.01,1.903,0.011,1.726,0.173,2.424
1.463,0.01,1.904,0.011,1.727,0.172,2.426
1.457,0.01,1.903,0.011,1.726,0.171,2.424
1.451,0.01,1.904,0.012,1.727,0.171,2.426
1.444,0.01,1.903,0.012,1.726,0.17,2.423
1.438,0.01,1.903,0.012,1.728,0.17,2.425
1.432,0.01,1.902,0.012,1.727,0.169,2.423
1.426,0.009,1.903,0.013,1.728,0.168,2.425
1.419,0.009,1.903,0.013,1.727,0.168,2.423
1.413,0.009,1.904,0.013,1.728,0.168,2.425
1.407,0.009,1.903,0.014,1.727,0.167,2.422
1.401,0.009,1.904,0.014,1.728,0.167,2.424
1.395,0.009,1.903,0.014,1.727,0.166,2.422
1.389,0.009,1.904,0.015,1.728,0.166,2.424
1.383,0.009,1.904,0.015,1.727,0.166,2.421
1.377,0.008,1.905,0.015,1.728,0.165,2.423
1.371,0.008,1.904,0.016,1.727,0.165,2.421
1.365,0.008,1.905,0.016,1.728,0.164,2.423
1.359,0.008,1.904,0.016,1.727,0.164,2.42
1.353,0.008,1.905,0.016,1.728,0.163,2.422
1.347,0.008,1.904,0.017,1.727,0.163,2.42
1.341,0.008,1.905,0.017,1.728,0.162,2.422
1.336,0.008,1.905,0.017,1.727,0.161,2.419
1.33,0.008,1.906,0.017,1.728,0.161,2.421
1.324,0.008,1.905,0.017,1.727,0.16,2.419
1.318,0.008,1.906,0.017,1.729,0.16,2.421
1.313,0.008,1.905,0.018,1.728,0.159,2.419
1.307,0.008,1.906,0.019,1.729,0.159,2.421
1.301,0.008,1.905,0.019,1.727,0.158,2.419
1.296,0.007,1.906,0.019,1.728,0.158,2.42
1.29,0.007,1.905,0.019,1.727,0.157,2.418
1.284,0.007,1.906,0.02,1.729,0.157,2.42
1.279,0.007,1.905,0.02,1.727,0.156,2.418
1.273,0.007,1.906,0.02,1.729,0.156,2.419
1.268,0.007,1.906,0.021,1.727,0.155,2.417
1.262,0.007,1.907,0.021,1.728,0.155,2.419
1.257,0.007,1.906,0.022,1.726,0.154,2.417
1.251,0.007,1.907,0.022,1.727,0.153,2.419
1.246,0.006,1.906,0.021,1.726,0.153,2.417
1.24,0.006,1.907,0.021,1.727,0.152,2.419
1.235,0.006,1.906,0.021,1.726,0.152,2.417
1.23,0.006,1.907,0.022,1.728,0.151,2.419
1.224,0.006,1.906,0.022,1.727,0.151,2.417
1.219,0.005,1.907,0.023,1.728,0.151,2.418
1.214,0.005,1.906,0.023,1.726,0.15,2.416
1.209,0.005,1.907,0.023,1.727,0.15,2.418
1.203,0.005,1.907,0.023,1.726,0.149,2.416
1.198,0.005,1.908,0.024,1.728,0.149,2.418
1.193,0.004,1.907,0.024,1.727,0.149,2.415
1.188,0.004,1.908,0.025,1.727,0.148,2.417
1.183,0.004,1.907,0.025,1.726,0.148,2.414
1.177,0.004,1.908,0.025,1.726,0.147,2.416
1.172,0.004,1.907,0.025,1.725,0.146,2.414
1.167,0.003,1.908,0.026,1.726,0.145,2.416
1.162,0.003,1.908,0.026,1.725,0.145,2.414
1.157,0.003,1.909,0.026,1.725,0.144,2.416
