TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/02/11
TIME,12:28:22
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  -35.5440
LASTX, 3608.9560
NPOINTS,    7290
FIRSTY,  1110.82458
MAXY,  3222.30762
MINY,  1109.65002
XYDATA
-35.5440,1110.82
-35.0440,1110.86
-34.5440,1110.88
-34.0440,1110.89
-33.5440,1110.89
-33.0440,1110.86
-32.5440,1110.81
-32.0440,1110.73
-31.5440,1110.64
-31.0440,1110.57
-30.5440,1110.53
-30.0440,1110.55
-29.5440,1110.64
-29.0440,1110.82
-28.5440,1111.04
-28.0440,1111.28
-27.5440,1111.52
-27.0440,1111.72
-26.5440,1111.86
-26.0440,1111.95
-25.5440,1112.03
-25.0440,1112.11
-24.5440,1112.25
-24.0440,1112.46
-23.5440,1112.76
-23.0440,1113.12
-22.5440,1113.46
-22.0440,1113.71
-21.5440,1113.83
-21.0440,1113.73
-20.5440,1113.4
-20.0440,1112.92
-19.5440,1112.35
-19.0440,1111.81
-18.5440,1111.36
-18.0440,1111.09
-17.5440,1111.04
-17.0440,1111.14
-16.5440,1111.35
-16.0440,1111.59
-15.5440,1111.82
-15.0440,1111.98
-14.5440,1112.05
-14.0440,1112.03
-13.5440,1111.92
-13.0440,1111.73
-12.5440,1111.44
-12.0440,1111.08
-11.5440,1110.67
-11.0440,1110.28
-10.5440,1109.94
-10.0440,1109.71
-9.5440,1109.65
-9.0440,1109.77
-8.5440,1110.02
-8.0440,1110.36
-7.5440,1110.71
-7.0440,1111.03
-6.5440,1111.25
-6.0440,1111.37
-5.5440,1111.41
-5.0440,1111.42
-4.5440,1111.43
-4.0440,1111.49
-3.5440,1111.63
-3.0440,1111.84
-2.5440,1112.06
-2.0440,1112.26
-1.5440,1112.37
-1.0440,1112.36
-0.5440,1112.2
-0.0440,1111.91
0.4560,1111.57
0.9560,1111.23
1.4560,1110.95
1.9560,1110.81
2.4560,1110.84
2.9560,1111.01
3.4560,1111.28
3.9560,1111.63
4.4560,1112.01
4.9560,1112.4
5.4560,1112.76
5.9560,1113.04
6.4560,1113.23
6.9560,1113.28
7.4560,1113.15
7.9560,1112.81
8.4560,1112.32
8.9560,1111.75
9.4560,1111.19
9.9560,1110.74
10.4560,1110.48
10.9560,1110.47
11.4560,1110.68
11.9560,1111.03
12.4560,1111.45
12.9560,1111.85
13.4560,1112.18
13.9560,1112.37
14.4560,1112.46
14.9560,1112.48
15.4560,1112.47
15.9560,1112.47
16.4560,1112.49
16.9560,1112.56
17.4560,1112.64
17.9560,1112.71
18.4560,1112.75
18.9560,1112.73
19.4560,1112.63
19.9560,1112.46
20.4560,1112.25
20.9560,1112.05
21.4560,1111.88
21.9560,1111.77
22.4560,1111.75
22.9560,1111.8
23.4560,1111.9
23.9560,1112.03
24.4560,1112.16
24.9560,1112.26
25.4560,1112.34
25.9560,1112.39
26.4560,1112.43
26.9560,1112.48
27.4560,1112.55
27.9560,1112.65
28.4560,1112.8
28.9560,1112.98
29.4560,1113.2
29.9560,1113.44
30.4560,1113.72
30.9560,1114.01
31.4560,1114.29
31.9560,1114.52
32.4560,1114.65
32.9560,1114.64
33.4560,1114.45
