TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/02/28
TIME,10:53:22
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -0.9146
LASTX, 5992.0854
NPOINTS,   11987
FIRSTY,  1372.00000
MAXY, 10557.71680
MINY,  1370.67688
XYDATA
-0.9146,1372
-0.4146,1371.76
0.0854,1371.52
0.5854,1371.3
1.0854,1371.1
1.5854,1370.93
2.0854,1370.8
2.5854,1370.71
3.0854,1370.68
3.5854,1370.7
4.0854,1370.79
4.5854,1370.95
5.0854,1371.18
5.5854,1371.46
6.0854,1371.79
6.5854,1372.15
7.0854,1372.54
7.5854,1372.94
8.0854,1373.35
8.5854,1373.75
9.0854,1374.14
9.5854,1374.51
10.0854,1374.84
10.5854,1375.14
11.0854,1375.4
11.5854,1375.61
12.0854,1375.77
12.5854,1375.88
13.0854,1375.93
13.5854,1375.91
14.0854,1375.83
14.5854,1375.67
15.0854,1375.45
15.5854,1375.19
16.0854,1374.9
16.5854,1374.6
17.0854,1374.31
17.5854,1374.05
18.0854,1373.83
18.5854,1373.68
19.0854,1373.6
19.5854,1373.63
20.0854,1373.74
20.5854,1373.92
21.0854,1374.16
21.5854,1374.44
22.0854,1374.73
22.5854,1375.03
23.0854,1375.31
23.5854,1375.55
24.0854,1375.75
24.5854,1375.87
25.0854,1375.93
25.5854,1375.93
26.0854,1375.89
26.5854,1375.82
27.0854,1375.75
27.5854,1375.67
28.0854,1375.61
28.5854,1375.57
29.0854,1375.58
29.5854,1375.64
30.0854,1375.76
30.5854,1375.92
31.0854,1376.09
31.5854,1376.28
32.0854,1376.46
32.5854,1376.62
33.0854,1376.74
33.5854,1376.82
34.0854,1376.82
34.5854,1376.75
35.0854,1376.6
35.5854,1376.4
36.0854,1376.16
36.5854,1375.9
37.0854,1375.66
37.5854,1375.44
38.0854,1375.27
38.5854,1375.17
39.0854,1375.16
39.5854,1375.26
40.0854,1375.48
40.5854,1375.78
41.0854,1376.16
41.5854,1376.59
42.0854,1377.06
42.5854,1377.53
43.0854,1377.99
43.5854,1378.43
44.0854,1378.81
44.5854,1379.13
45.0854,1379.36
45.5854,1379.54
46.0854,1379.66
46.5854,1379.74
47.0854,1379.79
47.5854,1379.83
48.0854,1379.86
48.5854,1379.89
49.0854,1379.95
49.5854,1380.04
50.0854,1380.16
50.5854,1380.32
51.0854,1380.51
51.5854,1380.74
52.0854,1380.98
52.5854,1381.25
53.0854,1381.55
53.5854,1381.86
54.0854,1382.18
54.5854,1382.52
55.0854,1382.87
55.5854,1383.22
56.0854,1383.56
56.5854,1383.9
57.0854,1384.23
57.5854,1384.54
58.0854,1384.82
58.5854,1385.07
59.0854,1385.28
59.5854,1385.45
60.0854,1385.58
60.5854,1385.67
61.0854,1385.74
61.5854,1385.79
62.0854,1385.83
62.5854,1385.88
63.0854,1385.93
63.5854,1386.01
64.0854,1386.11
64.5854,1386.24
65.0854,1386.42
65.5854,1386.64
66.0854,1386.88
66.5854,1387.15
67.0854,1387.45
67.5854,1387.76
68.0854,1388.09
68.5854,1388.42
69.0854,1388.75
69.5854,1389.09
70.0854,1389.42
70.5854,1389.74
71.0854,1390.05
71.5854,1390.35
