TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/02/28
TIME,09:51:14
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -1.1084
LASTX, 3174.8916
NPOINTS,    6353
FIRSTY,  1358.09998
MAXY,  3860.63696
MINY,  1350.49817
XYDATA
-1.1084,1358.1
-0.6084,1358.31
-0.1084,1358.53
0.3916,1358.73
0.8916,1358.93
1.3916,1359.13
1.8916,1359.31
2.3916,1359.49
2.8916,1359.66
3.3916,1359.85
3.8916,1360.04
4.3916,1360.25
4.8916,1360.46
5.3916,1360.58
5.8916,1360.54
6.3916,1360.26
6.8916,1359.63
7.3916,1358.61
7.8916,1357.32
8.3916,1355.91
8.8916,1354.59
9.3916,1353.51
9.8916,1352.86
10.3916,1352.66
10.8916,1352.79
11.3916,1353.12
11.8916,1353.51
12.3916,1353.82
12.8916,1353.97
13.3916,1353.99
13.8916,1353.95
14.3916,1353.89
14.8916,1353.88
15.3916,1353.98
15.8916,1354.15
16.3916,1354.32
16.8916,1354.42
17.3916,1354.36
17.8916,1354.07
18.3916,1353.57
18.8916,1352.97
19.3916,1352.4
19.8916,1352
20.3916,1351.9
20.8916,1352.19
21.3916,1352.76
21.8916,1353.45
22.3916,1354.12
22.8916,1354.6
23.3916,1354.74
23.8916,1354.57
24.3916,1354.22
24.8916,1353.85
25.3916,1353.61
25.8916,1353.64
26.3916,1354
26.8916,1354.56
27.3916,1355.17
27.8916,1355.7
28.3916,1355.99
28.8916,1355.92
29.3916,1355.57
29.8916,1355.05
30.3916,1354.5
30.8916,1354.05
31.3916,1353.81
31.8916,1353.83
32.3916,1354.03
32.8916,1354.35
33.3916,1354.71
33.8916,1355.05
34.3916,1355.31
34.8916,1355.51
35.3916,1355.65
35.8916,1355.74
36.3916,1355.79
36.8916,1355.82
37.3916,1355.82
37.8916,1355.77
38.3916,1355.65
38.8916,1355.45
39.3916,1355.16
39.8916,1354.79
40.3916,1354.42
40.8916,1354.1
41.3916,1353.91
41.8916,1353.91
42.3916,1354.13
42.8916,1354.51
43.3916,1354.94
43.8916,1355.36
44.3916,1355.65
44.8916,1355.76
45.3916,1355.7
45.8916,1355.57
46.3916,1355.45
46.8916,1355.43
47.3916,1355.59
47.8916,1355.93
48.3916,1356.36
48.8916,1356.77
49.3916,1357.05
49.8916,1357.09
50.3916,1356.84
50.8916,1356.38
51.3916,1355.83
51.8916,1355.31
52.3916,1354.96
52.8916,1354.87
53.3916,1355.04
53.8916,1355.4
54.3916,1355.87
54.8916,1356.39
55.3916,1356.87
55.8916,1357.28
56.3916,1357.61
56.8916,1357.86
57.3916,1358.02
57.8916,1358.1
58.3916,1358.1
58.8916,1358.05
59.3916,1358.01
59.8916,1357.99
60.3916,1358.06
60.8916,1358.24
61.3916,1358.53
61.8916,1358.88
62.3916,1359.28
62.8916,1359.67
63.3916,1360.03
63.8916,1360.34
64.3916,1360.61
64.8916,1360.87
65.3916,1361.13
65.8916,1361.41
66.3916,1361.73
66.8916,1362.13
67.3916,1362.65
67.8916,1363.33
68.3916,1364.21
68.8916,1365.33
69.3916,1366.71
69.8916,1368.34
70.3916,1370.23
70.8916,1372.37
71.3916,1374.77
