TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/02/28
TIME,13:47:00
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -0.3733
LASTX, 3631.1267
NPOINTS,    7264
FIRSTY,  1357.40002
MAXY, 14736.55566
MINY,  1355.91223
XYDATA
-0.3733,1357.4
0.1267,1357.66
0.6267,1357.89
1.1267,1358.09
1.6267,1358.24
2.1267,1358.31
2.6267,1358.28
3.1267,1358.17
3.6267,1357.99
4.1267,1357.79
4.6267,1357.59
5.1267,1357.44
5.6267,1357.38
6.1267,1357.4
6.6267,1357.49
7.1267,1357.63
7.6267,1357.79
8.1267,1357.96
8.6267,1358.12
9.1267,1358.23
9.6267,1358.29
10.1267,1358.27
10.6267,1358.14
11.1267,1357.89
11.6267,1357.51
12.1267,1357.06
12.6267,1356.6
13.1267,1356.21
13.6267,1355.96
14.1267,1355.91
14.6267,1356.1
15.1267,1356.47
15.6267,1356.96
16.1267,1357.51
16.6267,1358.07
17.1267,1358.57
17.6267,1358.98
18.1267,1359.3
18.6267,1359.51
19.1267,1359.62
19.6267,1359.61
20.1267,1359.49
20.6267,1359.28
21.1267,1359.02
21.6267,1358.76
22.1267,1358.53
22.6267,1358.39
23.1267,1358.36
23.6267,1358.44
24.1267,1358.6
24.6267,1358.85
25.1267,1359.17
25.6267,1359.54
26.1267,1359.93
26.6267,1360.31
27.1267,1360.6
27.6267,1360.77
28.1267,1360.76
28.6267,1360.52
29.1267,1360.1
29.6267,1359.58
30.1267,1359.08
30.6267,1358.68
31.1267,1358.5
31.6267,1358.61
32.1267,1358.97
32.6267,1359.51
33.1267,1360.14
33.6267,1360.8
34.1267,1361.4
34.6267,1361.89
35.1267,1362.26
35.6267,1362.54
36.1267,1362.71
36.6267,1362.79
37.1267,1362.79
37.6267,1362.72
38.1267,1362.59
38.6267,1362.44
39.1267,1362.28
39.6267,1362.13
40.1267,1362.02
40.6267,1361.94
41.1267,1361.88
41.6267,1361.83
42.1267,1361.77
42.6267,1361.7
43.1267,1361.6
43.6267,1361.5
44.1267,1361.41
44.6267,1361.36
45.1267,1361.36
45.6267,1361.43
46.1267,1361.58
46.6267,1361.78
47.1267,1361.99
47.6267,1362.2
48.1267,1362.35
48.6267,1362.44
49.1267,1362.47
49.6267,1362.52
50.1267,1362.63
50.6267,1362.88
51.1267,1363.32
51.6267,1364
52.1267,1364.83
52.6267,1365.64
53.1267,1366.32
53.6267,1366.7
54.1267,1366.66
54.6267,1366.13
55.1267,1365.27
55.6267,1364.29
56.1267,1363.39
56.6267,1362.76
57.1267,1362.6
57.6267,1362.93
58.1267,1363.61
58.6267,1364.47
59.1267,1365.34
59.6267,1366.06
60.1267,1366.47
60.6267,1366.59
61.1267,1366.49
61.6267,1366.25
62.1267,1365.96
62.6267,1365.69
63.1267,1365.52
63.6267,1365.41
64.1267,1365.34
64.6267,1365.28
65.1267,1365.19
65.6267,1365.04
66.1267,1364.83
66.6267,1364.6
67.1267,1364.42
67.6267,1364.34
68.1267,1364.42
68.6267,1364.7
69.1267,1365.18
69.6267,1365.8
70.1267,1366.49
70.6267,1367.19
71.1267,1367.86
71.6267,1368.42
72.1267,1368.88
