TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/02/28
TIME,14:32:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -0.3733
LASTX, 3631.1267
NPOINTS,    7264
FIRSTY,  1356.09998
MAXY,  7013.07910
MINY,  1355.00085
XYDATA
-0.3733,1356.1
0.1267,1356.27
0.6267,1356.43
1.1267,1356.59
1.6267,1356.75
2.1267,1356.9
2.6267,1357.03
3.1267,1357.16
3.6267,1357.27
4.1267,1357.35
4.6267,1357.4
5.1267,1357.41
5.6267,1357.38
6.1267,1357.29
6.6267,1357.16
7.1267,1356.98
7.6267,1356.75
8.1267,1356.47
8.6267,1356.15
9.1267,1355.81
9.6267,1355.49
10.1267,1355.22
10.6267,1355.05
11.1267,1355
11.6267,1355.1
12.1267,1355.32
12.6267,1355.6
13.1267,1355.9
13.6267,1356.16
14.1267,1356.34
14.6267,1356.42
15.1267,1356.44
15.6267,1356.43
16.1267,1356.45
16.6267,1356.53
17.1267,1356.72
17.6267,1357
18.1267,1357.32
18.6267,1357.65
19.1267,1357.92
19.6267,1358.08
20.1267,1358.11
20.6267,1358.01
21.1267,1357.85
21.6267,1357.68
22.1267,1357.54
22.6267,1357.5
23.1267,1357.59
23.6267,1357.78
24.1267,1358.04
24.6267,1358.33
25.1267,1358.63
25.6267,1358.89
26.1267,1359.09
26.6267,1359.24
27.1267,1359.32
27.6267,1359.35
28.1267,1359.33
28.6267,1359.24
29.1267,1359.11
29.6267,1358.96
30.1267,1358.83
30.6267,1358.73
31.1267,1358.7
31.6267,1358.75
32.1267,1358.88
32.6267,1359.06
33.1267,1359.27
33.6267,1359.51
34.1267,1359.74
34.6267,1359.95
35.1267,1360.14
35.6267,1360.29
36.1267,1360.41
36.6267,1360.48
37.1267,1360.5
37.6267,1360.47
38.1267,1360.4
38.6267,1360.3
39.1267,1360.18
39.6267,1360.04
40.1267,1359.9
40.6267,1359.77
41.1267,1359.68
41.6267,1359.66
42.1267,1359.73
42.6267,1359.9
43.1267,1360.2
43.6267,1360.6
44.1267,1361.03
44.6267,1361.47
45.1267,1361.87
45.6267,1362.18
46.1267,1362.39
46.6267,1362.51
47.1267,1362.58
47.6267,1362.62
48.1267,1362.67
48.6267,1362.75
49.1267,1362.86
49.6267,1362.99
50.1267,1363.12
50.6267,1363.22
51.1267,1363.29
51.6267,1363.31
52.1267,1363.3
52.6267,1363.27
53.1267,1363.24
53.6267,1363.25
54.1267,1363.31
54.6267,1363.44
55.1267,1363.61
55.6267,1363.8
56.1267,1363.99
56.6267,1364.14
57.1267,1364.23
57.6267,1364.27
58.1267,1364.28
58.6267,1364.29
59.1267,1364.34
59.6267,1364.46
60.1267,1364.66
60.6267,1364.93
61.1267,1365.21
61.6267,1365.45
62.1267,1365.6
62.6267,1365.6
63.1267,1365.42
63.6267,1365.14
64.1267,1364.81
64.6267,1364.54
65.1267,1364.39
65.6267,1364.45
66.1267,1364.72
66.6267,1365.15
67.1267,1365.63
67.6267,1366.08
68.1267,1366.42
68.6267,1366.56
69.1267,1366.51
69.6267,1366.33
70.1267,1366.08
70.6267,1365.82
71.1267,1365.61
71.6267,1365.51
72.1267,1365.53
